LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE
0002765040-0001-5,DIMITRI DEAN STEPHENSON,PATIO BURGERS & BEER,4541 EAGLE ROCK BLVD,LOS ANGELES,90041-3214,4541 EAGLE ROCK 90041-3214,4331 MOSHER AVENUE,LOS ANGELES,90031-1310,722110,Full-service restaurants,14,9/1/2014
0002751099-0001-9,CUITLAHUAC CHOCOTECO,TACOS EL JALISCIENCSE,4433 S ALAMEDA STREET,LOS ANGELES,90058-2008,4433 ALAMEDA 90058-2008,328 W 41ST PLACE,LOS ANGELES,90037-2111,722110,Full-service restaurants,0,5/13/2014
0000159764-0001-9,DAVID DJ URRUTIA,EL CHALATECO,1540 W ADAMS BLVD,LOS ANGELES,90007-1510,1540 ADAMS 90007-1510,,,,722110,Full-service restaurants,8,10/7/1994
0000840809-0002-2,"HILLSTONE RESTAURANT GROUP, INC.",BANDERA,11700 WILSHIRE BLVD,LOS ANGELES,90025-1503,11700 WILSHIRE 90025-1503,2710 E CAMELBACK ROAD SUITE #200,PHOENIX,85016-4318,722110,Full-service restaurants,11,8/12/1996
0002651529-0001-9,GUADALUPE C GONZALEZ / BLANCA VALLE,SALVAMEX,1910 CYPRESS AVENUE,LOS ANGELES,90065-1223,1910 CYPRESS 90065-1223,,,,722110,Full-service restaurants,1,12/19/2012
0002727130-0001-9,HUMBERTO CASTELLANOS,CAMY'S GRILL,3339 WILSHIRE BLVD,LOS ANGELES,90010-1802,3339 WILSHIRE 90010-1802,3339 WILSHIRE BLVD,LOS ANGELES,90010-1802,722110,Full-service restaurants,10,2/5/2014
0002620529-0001-2,JOSE PEREZ & JAVIER CAZARES,LOS CABOS RESTAURANT,20945 ROSCOE BLVD,CANOGA PARK,91304-4309,20945 ROSCOE 91304-4309,,,,722110,Full-service restaurants,3,2/29/2012
0000763574-0001-1,JIM C VOVOS,TAMS BURGERS #34,500 W MANCHESTER AVENUE,LOS ANGELES,90044-5746,500 MANCHESTER 90044-5746,,,,722110,Full-service restaurants,8,1/1/1998
0000026670-0035-4,C G INVESTMENTS INC,SUBWAY # 52105,255 S GRAND AVENUE SUITE #101,LOS ANGELES,90012-3035,255 GRAND 90012-3035,7755 HASKELL AVENUE,VAN NUYS,91406-1906,722110,Full-service restaurants,14,8/3/2011
0000192351-0001-3,YOO SOOK CHOI,SNACK SHOP,1600 W SLAUSON AVENUE #H27,LOS ANGELES,90047-1117,1600 SLAUSON 90047-1117,1600 W SLAUSON AVENUE #I29,LOS ANGELES,90047-1117,722110,Full-service restaurants,8,1/1/1995
0002700755-0001-4,SAN JULIAN MEXICAN FOOD INC,SAN JULIAN MEXICAN FOOD,1145 SAN JULIAN STREET UNIT #112,LOS ANGELES,90015-2380,1145 SAN JULIAN 90015-2380,1300 W OLYMPIC BLVD SUITE #407,LOS ANGELES,90015-3900,722110,Full-service restaurants,14,9/9/2013
0000055559-0001-7,EST OF LEARA M COX,BERTHA'S SOUL FOOD,1714 W CENTURY BLVD,LOS ANGELES,90047-4223,1714 CENTURY 90047-4223,1714 W CENTURY BLVD,LOS ANGELES,90047-4223,722110,Full-service restaurants,8,4/1/1976
0002737868-0001-0,HOKKADO ENCINO INC,HOKKAIDO SEAFOOD BUFFET,15910 VENTURA BLVD UNIT #101,ENCINO,91436-2846,15910 VENTURA 91436-2846,3030 CHERRY AVENUE,LONG BEACH,90807-5210,722110,Full-service restaurants,5,3/13/2014
0002507810-0001-5,GOYOO CORP,,333 S ALAMEDA STREET UNIT #125,LOS ANGELES,90013-1733,333 ALAMEDA 90013-1733,,,,722110,Full-service restaurants,14,6/16/2010
0000210285-0010-3,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLEFOODS MARKET,1050 GAYLEY AVENUE,LOS ANGELES,90024-3402,1050 GAYLEY 90024-3402,POST OFFICE BOX #684786,AUSTIN,78768-4786,722110,Full-service restaurants,5,1/15/2003
0000549793-0001-1,IMRAN/MELINE KAZANCI,ST VINCENT COFFEE SHOP,650 S HILL STREET #K10,LOS ANGELES,90014-4076,650 HILL 90014-4076,,,,722110,Full-service restaurants,14,11/20/1986
0002508258-0001-4,NABI INC,10880 WILSHIRE TRIMANA,10880 WILSHIRE BLVD SUITE #111,LOS ANGELES,90024-4102,10880 WILSHIRE 90024-4102,,,,722110,Full-service restaurants,5,6/17/2010
0002522041-0001-1,GHAZARIAN BROS INC,MEDITERRANEAN KITCHEN,1126 STANLEY AVENUE,GLENDALE,91206-4530,1126 STANLEY 91206-4530,,,,722110,Full-service restaurants,0,8/23/2010
0000493864-0001-5,AMORNRAT KAEWTHONGKAM,ORIGINAL THAI RESTAURANT,11363 RIVERSIDE DRIVE,N HOLLYWOOD,91602-1268,11363 RIVERSIDE 91602-1268,,,,722110,Full-service restaurants,2,4/1/2003
0002179728-0001-4,JAMES KUN HONG,OLYMPIC NOODLES,4008 W OLYMPIC BLVD,LOS ANGELES,90019-3257,4008 OLYMPIC 90019-3257,,,,722110,Full-service restaurants,10,8/8/2006
0002743300-0001-8,DINH HAI BANH,SIMPLY PHO YOU,698 S VERMONT AVENUE #110,LOS ANGELES,90005-4721,698 VERMONT 90005-4721,,,,722110,Full-service restaurants,10,4/1/2014
0000116674-0001-7,ROLAND PIERRE PERI,BABALU CAFE,1040 N LAS PALMAS AVENUE,LOS ANGELES,90038-2409,1040 LAS PALMAS 90038-2409,,,,722110,Full-service restaurants,4,6/1/2004
0002420287-0001-0,CHUNG HAE SUSAN,,3636 W OLYMPIC BLVD #B,LOS ANGELES,90019-2041,3636 OLYMPIC 90019-2041,,,,722110,Full-service restaurants,10,2/3/2009
0002562207-0001-6,1650 SCHRAEDER BLVD LLC,EDEN,1650 SCHRADER BLVD,LOS ANGELES,90028-6214,1650 SCHRADER 90028-6214,5900 WILSHIRE BLVD #3100,LOS ANGELES,90036-5030,722110,Full-service restaurants,13,5/26/2011
0002745332-0001-2,CECILIA MELGAR,SPICE ON HOLLYWOOD,2011 N HIGHLAND AVENUE,LOS ANGELES,90068-3238,2011 HIGHLAND 90068-3238,,,,722110,Full-service restaurants,4,2/1/2013
0002617034-0001-7,HANNOSUKE CORPORATION,,3760 S CENTINELA AVENUE,LOS ANGELES,90066-3126,3760 CENTINELA 90066-3126,3485 SAWTELLE BLVD UNIT #17,LOS ANGELES,90066-2129,722110,Full-service restaurants,11,6/11/2012
0002555159-0001-1,XIOS CORPORATION,MORFIA'S RIBS & PIES,4077 LINCOLN BLVD,MARINA DEL REY,90292-5613,4077 LINCOLN 90292-5613,519 W BUCKTHORN STREET,INGLEWOOD,90301-3114,722110,Full-service restaurants,11,4/1/2011
0000234754-0001-1,"Z & Z RESTAURANT, INC",FATBURGER - WESTWOOD,3026 S FIGUEROA STREET,LOS ANGELES,90007-3711,3026 FIGUEROA 90007-3711,29421 MALIBU VIEW COURT,AGOURA,91301-6237,722110,Full-service restaurants,9,9/1/2000
0002647558-0001-2,747 CIENEGA LLC,BELMONT,747 N LA CIENEGA BLVD,LOS ANGELES,90069-5203,747 LA CIENEGA 90069-5203,1448 PRINCETON STREET UNIT #5,SANTA MONICA,90404-3040,722110,Full-service restaurants,5,12/21/2012
0002572679-0001-0,MESHUGA 4 SUSHI,MESHUGA 4 SUSHI,526 N LA BREA AVENUE,LOS ANGELES,90036-2016,526 LA BREA 90036-2016,,,,722110,Full-service restaurants,5,5/1/2012
0002623338-0001-7,THE MAIN COURSE SINCE 1982,THE MAIN COURSE,10509 W PICO BLVD,LOS ANGELES,90064-2319,10509 PICO 90064-2319,,,,722110,Full-service restaurants,5,6/26/2012
0002697429-0002-8,OCHOA'S SCORPORATION,BURRITOS EL CHAVO,6032 RESEDA BLVD,TARZANA,91356-1507,6032 RESEDA 91356-1507,12449 RIVERSIDE DRIVE,NORTH HOLLYWOOD,91607-3509,722110,Full-service restaurants,3,7/1/2013
0000077292-0001-2,MYONG SUN LEE,TODAMGOLE,203 N WESTERN AVENUE,LOS ANGELES,90004-4107,203 WESTERN 90004-4107,,,,722110,Full-service restaurants,4,10/1/2003
0002765537-0001-4,NURIAL SILVA,LATIN FLAVOR CAFE,8561 RESEDA BLVD,NORTHRIDGE,91324-4630,8561 RESEDA 91324-4630,,,,722110,Full-service restaurants,12,7/29/2014
0000040201-0001-5,MEL-Z ENTERPRISE INC,JACK IN THE BOX #333,17744 CHATSWORTH STREET,GRANADA HILLS,91344-5603,17744 CHATSWORTH 91344-5603,18614 UTOPIA COURT,CANYON COUNTRY,91351-3415,722110,Full-service restaurants,12,5/1/2003
0000418439-0001-0,RAUL SANCHEZ,CASA SANCHEZ,4510 S CENTINELA AVENUE,LOS ANGELES,90066-6206,4510 CENTINELA 90066-6206,4500 S CENTINELA AVENUE,LOS ANGELES,90066-6206,722110,Full-service restaurants,11,1/15/2004
0002644147-0001-0,ZEN SHENG INC,PANDA WOK,13205 GLADSTONE AVENUE,SYLMAR,91342-3116,13205 GLADSTONE 91342-3116,,,,722110,Full-service restaurants,7,11/1/2012
0000023784-0001-8,ZHIRAYR SARUKHANUAN,PIZZA MAN,18109 SATICOY STREET,RESEDA,91335-3120,18109 SATICOY 91335,,,,722110,Full-service restaurants,12,7/27/1992
0002561587-0001-2,SUKKOTH LLC,SUBWAY# 1688,15302 W SUNSET BLVD,PACIFIC PALISADES,90272-3613,15302 SUNSET 90272-3613,,,,722110,Full-service restaurants,11,5/23/2011
0000143063-0001-7,ELOY SANTIAGO LOPEZ & JOSE SANTIAGO,THE GARDEN JUICE BAR,322 W 7TH STREET,LOS ANGELES,90014-1706,322 7TH 90014-1706,,,,722110,Full-service restaurants,14,2/2/2004
0002708603-0001-7,JI SUNG KIM,YUKINOHANA JAPANESE RESTAURANT,3100 W 8TH STREET SUITE #103,LOS ANGELES,90005-1980,3100 8TH 90005-1980,,,,722110,Full-service restaurants,10,10/7/2013
0002751622-0001-1,2ND FLOOR LA INC,,865 S VERMONT AVENUE,LOS ANGELES,90005-1522,865 VERMONT 90005-1522,,,,722110,Full-service restaurants,10,5/15/2014
0002599780-0001-4,LA RAMADA GRILL INC,LA RAMADA RESTAURANT,2215 S CENTRAL AVENUE,LOS ANGELES,90011-1238,2215 CENTRAL 90011-1238,,,,722110,Full-service restaurants,9,1/2/2012
0002292107-0001-1,YOOKANE IROLO INC,YOOGANE DUMPLING,698 IROLO STREET #111,LOS ANGELES,90005-2373,698 IROLO 90005-2373,,,,722110,Full-service restaurants,10,10/3/2007
0000142012-0001-7,TAIKO FOODS INC,SOBADOKORO TAIKO,11677 SAN VICENTE BLVD #302,LOS ANGELES,90049-5133,11677 SAN VICENTE 90049-5133,,,,722110,Full-service restaurants,11,6/10/1994
0000884748-0001-1,FILOMENA D'AMORE,PATSY'S PIZZA,6333 W 3RD STREET #448,LOS ANGELES,90036-3195,6333 3RD 90036-3195,,,,722110,Full-service restaurants,4,7/18/1998
0002493329-0001-1,JAMES OTA,,122 JAPANESE VILLAGE PLAZA MALL,LOS ANGELES,90012-3909,122 JAPANESE VILLAGE PLAZA 90012-3909,,,,722110,Full-service restaurants,14,3/23/2010
0000682425-0001-0,SOHRAB INC,SHAMSHIRI RESTAURANT & GRILL,1712 WESTWOOD BLVD,LOS ANGELES,90024-5608,1712 WESTWOOD 90024-5608,16060 VENTURA BLVD SUITE #110-330,ENCINO,91436-2761,722110,Full-service restaurants,5,8/2/2002
0002668802-0001-1,EL SABOR K TRACHO,,4181 S FIGUEROA STREET,LOS ANGELES,90037-2040,4181 FIGUEROA 90037-2040,,,,722110,Full-service restaurants,9,2/1/2013
0000418366-0001-9,RMCJ CORP,MCDONALD'S #00353,2457 LINCOLN BLVD,VENICE,90291-5040,2457 LINCOLN 90291-5040,9906 HAYVENHURST AVENUE,NORTH HILLS,91343-1163,722110,Full-service restaurants,11,5/1/2001
0000382261-0001-3,AF2 CHOCOLATIERS LLC,A F 2 CHOCOLATIERES,4389 IRVINE AVENUE,STUDIO CITY,91604-2705,4389 IRVINE 91604-2705,,,,722110,Full-service restaurants,2,2/1/2004
0000225704-0001-4,OKI GROUP LLC,OKIS DOG,5056 W PICO BLVD,LOS ANGELES,90019-4128,5056 PICO 90019-4128,,,,722110,Full-service restaurants,10,10/1/1979
0002597180-0001-1,NS LLC,SHUNJI,12244 W PICO BLVD,LOS ANGELES,90064-1135,12244 PICO 90064-1135,,,,722110,Full-service restaurants,11,2/1/2012
0000157288-0001-9,CONCORDIA DEVELOPMENT INC,SUBWAY #14900,12902 FOOTHILL BLVD #J,SYLMAR,91342-4900,12902 FOOTHILL 91342-4900,12902 FOOTHILL BLVD #J,SYLMAR,91342-4900,722110,Full-service restaurants,7,10/11/1994
0000629185-0001-0,BELENROOD INC,CASITA DEL CAMPO,1920 HYPERION AVENUE,LOS ANGELES,90027-4740,1920 HYPERION 90027-4740,1908 HYPERION AVENUE,LOS ANGELES,90027-4740,722110,Full-service restaurants,4,3/1/1962
0000041352-0001-3,MAYABEQUE INC,VERSAILLES ONE,17410 VENTURA BLVD,ENCINO,91316-3827,17410 VENTURA 91316-3827,,,,722110,Full-service restaurants,5,10/1/1992
0000137349-0001-4,PUEBLO RESTAURANT INC,CASA TORRES RESTAURANTE Y CANTINA,14117 HUBBARD STREET,SYLMAR,91342-4700,14117 HUBBARD 91342-4700,455 SAN FERNANDO MISSION BLVD,SAN FERNANDO,91340-3575,722110,Full-service restaurants,7,3/15/1995
0000590714-0001-2,MARIA JUANA MANZANO,PANADERIA LA QUETZALTECA,1610 W 6TH STREET,LOS ANGELES,90017-1002,1610 6TH 90017-1002,,,,722110,Full-service restaurants,1,12/4/2001
0000009337-0001-1,ALICIA GUTIERREZ,EL MILAGRO RESTAURANT,5162 W ADAMS BLVD,LOS ANGELES,90016-2728,5162 ADAMS 90016-2728,,,,722110,Full-service restaurants,10,6/25/2003
0000723403-0001-8,NUMBER 748 INC,I H O P #748,19100 VENTURA BLVD,TARZANA,91356-3239,19100 VENTURA 91356-3239,,,,722110,Full-service restaurants,3,7/6/1989
0002677900-0001-0,"SO & J GROUP, INC.",HONG DAE IP GU,3871 WILSHIRE BLVD,LOS ANGELES,90010-3202,3871 WILSHIRE 90010,3435 WILSHIRE BLVD SUITE #1040,LOS ANGELES,90010-1919,722110,Full-service restaurants,10,5/1/2013
0000486120-0001-1,FLYING OCEAN INC,TRIMANA WEST LA,11755 WILSHIRE BLVD UNIT #30,LOS ANGELES,90025-1540,11755 WILSHIRE 90025-1540,,,,722110,Full-service restaurants,11,6/1/2001
0002595465-0001-6,HOON & K INC,,4177 W 3RD STREET,LOS ANGELES,90020-3446,4177 3RD 90020-3446,,,,722110,Full-service restaurants,10,12/23/2011
0000267458-0001-6,"SENIOR CLASSIC LEASING, LLC",CARLS JR RESTAURANT#7490,8323 WOODMAN AVENUE,PANORAMA CITY,91402-3911,8323 WOODMAN 91402-3911,1 CENTERPOINTE DRIVE SUITE #400,LA PALMA,90623-2530,722110,Full-service restaurants,6,11/27/2000
0002708874-0001-3,JEONG MAN KIM,PACOIMA CHINESE FAST FOOD,11260 GLENOAKS BLVD,PACOIMA,91331-1620,11260 GLENOAKS 91331-1620,,,,722110,Full-service restaurants,7,3/1/2013
0002717822-0001-5,"CHILDREN SOLUTION, LLC",,21226 VENTURA BLVD #271,WOODLAND HILLS,91364-2106,21226 VENTURA 91364-2106,,,,722110,Full-service restaurants,3,10/1/2013
0000649093-0006-0,MCDONALDS RESTAURANTS OF CA INC,MCDONALDS #5968,341 S VERMONT AVENUE,LOS ANGELES,90020-1806,341 VERMONT 90020-1806,POST OFFICE BOX #183090,COLUMBUS,43218-3090,722110,Full-service restaurants,13,10/1/1971
0000943540-0003-7,CONCORDIA DEVELOPMENT INC,SUBWAY #43314,6005 VINELAND AVENUE UNIT #101,NORTH HOLLYWOOD,91606-4985,6005 VINELAND 91606-4985,12902 FOOTHILL BLVD UNIT #J,SYLMAR,91342-4900,722110,Full-service restaurants,2,10/1/2008
0002646740-0001-1,MANUEL E. & ROSA G. HERNANDEZ,HONEY BEES HOUSE OF BREAKFAST,4715 W ADAMS BLVD,LOS ANGELES,90016-2901,4715 ADAMS 90016,,,,722110,Full-service restaurants,10,12/1/2012
0002317073-0001-1,GURBACHAN INC,TAJ INDIA PALACE,8320 LINCOLN BLVD #104A,WESTCHESTER,90045-2466,8320 LINCOLN 90045-2400,,,,722110,Full-service restaurants,11,2/18/2008
0002561388-0001-1,WALEE,,735 E 12TH STREET #409,LOS ANGELES,90021-2264,735 12TH 90021-2264,600 E WASHINGTON BLVD SUITE #N-5,LOS ANGELES,90015-3730,722110,Full-service restaurants,14,6/1/2011
0002720789-0001-6,"NAPOLI KOSHER PIZZA, LLC",,12417 BURBANK BLVD UNIT #A,VALLEY VILLAGE,91607-1616,12417 BURBANK 91607-1616,12243 COLLINS STREET,VALLEY VILLAGE,91607-1769,722110,Full-service restaurants,2,1/6/2014
0002742010-0001-0,FALA BAR LLC,,7751  1/2 MELROSE AVENUE,LOS ANGELES,90046-7328,7751 MELROSE 90046-7328,2800 OLYMPIC BLVD FLOOR #2ND,SANTA MONICA,90404-4101,722110,Full-service restaurants,5,3/1/2014
0002302636-0001-6,TIMMY NOLAN'S,,10111 RIVERSIDE DRIVE,TOLUCA LAKE,91602-2517,10111 RIVERSIDE 91602-2517,,,,722110,Full-service restaurants,4,10/27/2006
0000778469-0001-5,ISLAND PRIDE INC,DERRICK'S JAMAICAN CUISINE,6806 LA TIJERA BLVD,LOS ANGELES,90045-1905,6806 LA TIJERA 90045-1905,,,,722110,Full-service restaurants,11,3/19/2003
0002659997-0002-4,LS CONCESSIONS MANAGEMENT AT LAX TBIT LLC,III FORKS PRIME STEAKHOUSE,1 WORLD WAY SPACE #T71,LOS ANGELES,90045-5803,1 WORLD 90045-5803,7929 BROOKRIVER DRIVE SUITE #200,DALLAS,75247-4945,722110,Full-service restaurants,11,7/9/2014
0000959680-0001-3,DINO'S CHICKEN AND BURGERS,DINOS BURGERS #2,2575 W PICO BLVD,LOS ANGELES,90006-4011,2575 PICO 90006-4011,4900 GOULD AVENUE,LA CANADA,91011-2632,722110,Full-service restaurants,1,4/1/1970
0002289724-0001-8,"TOMATO PIE PIZZA JOINT SILVER LAKE, INC.",TOMATO PIE,2457 HYPERION AVENUE,LOS ANGELES,90027-4755,2457 HYPERION 90027-4755,,,,722110,Full-service restaurants,4,1/2/2008
0000205241-0001-1,"EL PASEO INN RESTAURANT, LLC",EL PASEO INN,11 OLVERA STREET #E11,LOS ANGELES,90012-2920,11 OLVERA 90012-2920,,,,722110,Full-service restaurants,14,5/6/1984
0000006603-0001-5,GAM JA GOL CORPORATION,,3003 W OLYMPIC BLVD #107,LOS ANGELES,90006-6511,3003 OLYMPIC 90006-6511,,,,722110,Full-service restaurants,10,5/1/2003
0002239081-0001-7,MAZH INC,CHINATOWN EXPRESS #42,252 S WESTERN AVENUE,LOS ANGELES,90004-4104,252 WESTERN 90004-4104,,,,722110,Full-service restaurants,10,3/1/2007
0002757404-0001-0,LAURA PIEDRA PINEDA,RESTAURANTE TIERRA CALIENTE,1217 CYPRESS AVENUE,LOS ANGELES,90065-1112,1217 CYPRESS 90065-1112,,,,722110,Full-service restaurants,1,6/18/2014
0000252875-0001-0,ALEJANDRA GARCIA,TOMMY'S CAFE,1610 S LOS ANGELES STREET,LOS ANGELES,90015-3624,1610 LOS ANGELES 90015-3624,,,,722110,Full-service restaurants,14,8/4/1995
0000007779-0001-3,JUSTIN TANG,MR GOOD'S DONUT,4601 HUNTINGTON DRIVE N,LOS ANGELES,90032-1919,4601 HUNTINGTON 90032-1919,,,,722110,Full-service restaurants,14,3/1/2000
0000317439-0001-7,VORESH & ELLEN AZIZIAN,GRANADA HILLS PIZZA COOKERY,10371 BALBOA BLVD,GRANADA HILLS,91344-7318,10371 BALBOA 91344-7318,,,,722110,Full-service restaurants,12,3/1/1996
0000997322-0001-7,JUNG HYUN LEE,,2773 W OLYMPIC BLVD,LOS ANGELES,90006-2632,2773 OLYMPIC 90006-2632,,,,722110,Full-service restaurants,10,12/1/1999
0002765524-0001-7,MARIA  BERNARDA  LOPEZ DIAZ,EL JACALITO RESTAURANTE,1109  1/2 N WESTERN AVENUE,LOS ANGELES,90029-1016,1109 WESTERN 90029-1016,,,,722110,Full-service restaurants,13,7/31/2014
0002532437-0001-4,GOURMANDISE PARIS INC,26 BY SHILOS,8657 W PICO BLVD,LOS ANGELES,90035-2316,8657 PICO 90035-2316,,,,722110,Full-service restaurants,5,12/2/2010
0002463031-0001-5,VCF INC,PICCOLO RISTORANTE,5 DUDLEY AVENUE,VENICE,90291-2405,5 DUDLEY 90291-2405,,,,722110,Full-service restaurants,11,9/14/2009
0000078973-0001-4,YOUNG HO RA,SEOUL TOFU HOUSE,10201 RESEDA BLVD #104,NORTHRIDGE,91324-5011,10201 RESEDA 91324-5011,,,,722110,Full-service restaurants,12,4/15/2004
0002576187-0001-2,HERMANOS GRANJA,SABORES OAXAQUENOS RESTAURANT,3337 W 8TH STREET,LOS ANGELES,90005-2434,3337 8TH 90005-2434,,,,722110,Full-service restaurants,10,9/15/2011
0002703895-0001-9,ASHA INDIAN RESTAURANT CORPORATION,,18608  1/2 VENTURA BLVD,TARZANA,91356-4194,18608 VENTURA 91356-4194,7724 GRAYSTONE DRIVE,CANOGA PARK,91304-6148,722110,Full-service restaurants,3,9/15/2013
0000833600-0001-2,"HAING SOON LEE, ET AL",TAMS BURGERS,2801 S CENTRAL AVENUE,LOS ANGELES,90011-2036,2801 CENTRAL 90011-2036,,,,722110,Full-service restaurants,9,5/1/1991
0002696850-0001-5,NATURES BREW INC,NATURES BREW,2316 S UNION AVENUE,LOS ANGELES,90007-1843,2316 UNION 90007-1843,,,,722110,Full-service restaurants,1,8/12/2013
0000490766-0001-4,FRED ERIC ET AL,FREDS 62 LLC,1850 N VERMONT AVENUE,LOS ANGELES,90027-4215,1850 VERMONT 90027-4215,1850 N VERMONT AVENUE,LOS ANGELES,90027-4215,722110,Full-service restaurants,4,6/23/1997
0002681008-0002-3,FIVE GUYS OPERATIONS LLC,FIVE GUYS BURGER AND FRIES,530 W 27TH STREET UNIT #101,LOS ANGELES,90007-3203,530 27TH 90007-3203,10718 RICHMOND HIGHWAY,LORTON,22079-2622,722110,Full-service restaurants,9,2/27/2013
0000204265-0001-0,CARNECERIA LOS TAPATIOS INC,CARNECERIA LOS TAPATIOS 2,1451 W 3RD STREET,LOS ANGELES,90017-1401,1451 3RD 90017-1401,,,,722110,Full-service restaurants,1,3/7/1995
0002628940-0001-0,BOKJO BROS INC,,18531 BURBANK BLVD,TARZANA,91356-2601,18531 BURBANK 91356-2601,,,,722110,Full-service restaurants,3,8/2/2012
0000520573-0005-1,NEW MILLENNIUM PRIVATE LIMITED CORP,SUBWAY SANDWICHES # 13477,8511 VENICE BLVD,LOS ANGELES,90034-2548,8511 VENICE 90034-2548,,,,722110,Full-service restaurants,10,11/15/1996
0000009348-0002-8,BRISTOL FARMS INC,BRISTOL FARMS STORE #9,7880 W SUNSET BLVD,LOS ANGELES,90046-3309,7880 SUNSET 90046-3309,915 E 230TH STREET,CARSON,90745-5005,722110,Full-service restaurants,4,4/21/1999
0000841265-0005-9,TBS FOODS INC,JACK IN THE BOX #279,1441 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90062-1224,1441 MARTIN LUTHER KING JR 90062-1224,4917 GENESTA AVENUE,ENCINO,91316-3438,722110,Full-service restaurants,8,8/21/1989
0000579103-0001-8,A & M JOINT INC,SUBWAY # 1257,4954 VAN NUYS BLVD #107,SHERMAN OAKS,91403-1775,4954 VAN NUYS 91403-1775,,,,722110,Full-service restaurants,4,2/20/2002
0000016200-0001-5,FRANCY INC,PASTINA,2260 WESTWOOD BLVD,LOS ANGELES,90064-2018,2260 WESTWOOD 90064-2018,,,,722110,Full-service restaurants,5,10/1/1992
0000059373-0001-0,WEST LOS ANGELES LITTLE LEAGUE,,1411 S SEPULVEDA BLVD,LOS ANGELES,90025-3428,1411 SEPULVEDA 90025-3428,1520 WASHINGTON BLVD #100,MONTEBELLO,90640-5449,722110,Full-service restaurants,5,1/1/2000
0000189280-0001-6,TAHITI GIRL INC,HIMANO CAFE | HINANO,15 WASHINGTON BLVD,MARINA DEL REY,90292-5123,15 WASHINGTON 90292-5123,,,,722110,Full-service restaurants,11,5/23/1997
0002710767-0001-3,OSCAR JAVIER CORDOVA,KARMA LOUNGE,8910 S WESTERN AVENUE,LOS ANGELES,90047-3548,8910 WESTERN 90047-3548,,,,722110,Full-service restaurants,8,10/31/2013
0002104152-0003-4,THE VEGAN JOINT,THE VEGAN JOINT,4718 FOUNTAIN AVENUE SUITE #D,LOS ANGELES,90029-1766,4718 FOUNTAIN 90029-1766,,,,722110,Full-service restaurants,13,12/5/2012
0000509220-0002-3,"MAROK & CHEEMA, INC",POPEYES CHICKEN & BISCUIT #3370,14723 RINALDI STREET,SAN FERNANDO,91340-4138,14723 RINALDI 91340-4138,,,,722110,Full-service restaurants,7,2/13/2006
0000873884-0001-1,CECILIO GARDUNO,TACOS DF,2500 MAPLE AVENUE,LOS ANGELES,90011-1430,2500 MAPLE 90011-1430,,,,722110,Full-service restaurants,9,5/16/1998
0002677259-0001-1,KSH-ESH LLC,HU'S RESTAURANT,10450 NATIONAL BLVD,LOS ANGELES,90034-4662,10450 NATIONAL 90034-4662,,,,722110,Full-service restaurants,5,4/9/2013
0002568003-0001-5,RASCAL MANAGEMENT LLC,RASCAL,801 S LA BREA AVENUE,LOS ANGELES,90036-4809,801 LA BREA 90036-4809,,,,722110,Full-service restaurants,4,8/1/2011
0002681279-0001-1,FACTORY KITCHEN PARTNERS LLC,,1300 FACTORY PLACE,LOS ANGELES,90013-2214,1300 FACTORY 90013-2214,535 S CURSON AVENUE #12,LOS ANGELES,90036-5252,722110,Full-service restaurants,14,5/14/2013
0000669942-0001-2,WORLD WIDE TACOS,,2419 W MARTIN LUTHER KING JR BLVD #B,LOS ANGELES,90008-2726,2419 MARTIN LUTHER KING JR 90008-2726,,,,722110,Full-service restaurants,10,5/6/2002
0000768461-0001-2,DEFRANKOS INC,DEFRANKOS SUBMARINES,7532 WOODLEY AVENUE,VAN NUYS,91406-2928,7532 WOODLEY 91406-2928,,,,722110,Full-service restaurants,6,5/1/1990
0002518296-0001-6,BRIDGE TAVERN LLC,VILLAINS TAVERN,1356 PALMETTO STREET,LOS ANGELES,90013-2229,1356 PALMETTO 90013-2229,,,,722110,Full-service restaurants,14,8/1/2010
0002096853-0001-6,ANA YENSI MEDINA,RESTAURANTE HERMANO CENTROAMERICANO #2,1905 8TH AVENUE,LOS ANGELES,90018-1102,1905 8TH 90018-1102,,,,722110,Full-service restaurants,10,1/2/2006
0002242547-0001-6,SANDWICH SHOP CORP,'WICHES 213,531 W 6TH STREET,LOS ANGELES,90014-1201,531 6TH 90014-1201,,,,722110,Full-service restaurants,14,5/1/2007
0002764024-0001-9,KO AND CHOE INC,,3680 WILSHIRE BLVD UNIT #201,LOS ANGELES,90010-2709,3680 WILSHIRE 90010-2709,,,,722110,Full-service restaurants,10,3/4/2014
0002729280-0001-0,SHUN KIN HUI,HAPPY HOUSE CHINESE & THAI FAST FOOD,18845 SHERMAN WAY UNIT #D,RESEDA,91335-4042,18845 SHERMAN 91335-4042,,,,722110,Full-service restaurants,3,2/12/2014
0002539483-0001-5,DON DAY INC,,300 S HOBART BLVD #100,LOS ANGELES,90020-3600,300 HOBART 90020-3600,,,,722110,Full-service restaurants,10,1/1/2011
